id_pais,nombre,continente,enlace_bandera_pais,enlace_pais
159,Sudáfrica,África,https://tmssl.akamaized.net/images/flagge/medium/159.png?lm=1520611569,/wettbewerbe/national/wettbewerbe/159
173,Túnez,África,https://tmssl.akamaized.net/images/flagge/medium/173.png?lm=1520611569,/wettbewerbe/national/wettbewerbe/173
12,Australia,Asia/Oceanía,https://tmssl.akamaized.net/images/flagge/medium/12.png?lm=1520611569,/wettbewerbe/national/wettbewerbe/12
153,Singapur,Asia/Oceanía,https://tmssl.akamaized.net/images/flagge/medium/153.png?lm=1520611569,/wettbewerbe/national/wettbewerbe/153
218,Hong Kong,Asia/Oceanía,https://tmssl.akamaized.net/images/flagge/medium/218.png?lm=1520611569,/wettbewerbe/national/wettbewerbe/218
167,Tailandia,Asia/Oceanía,https://tmssl.akamaized.net/images/flagge/medium/167.png?lm=1520611569,/wettbewerbe/national/wettbewerbe/167
116,Myanmar,Asia/Oceanía,https://tmssl.akamaized.net/images/flagge/medium/116.png?lm=1520611569,/wettbewerbe/national/wettbewerbe/116
48,Fiji,Asia/Oceanía,https://tmssl.akamaized.net/images/flagge/medium/48.png?lm=1520611569,/wettbewerbe/national/wettbewerbe/48
164,Taiwan,Asia/Oceanía,https://tmssl.akamaized.net/images/flagge/medium/164.png?lm=1520611569,/wettbewerbe/national/wettbewerbe/164
24,Bosnia y Herzegovina,Europa,https://tmssl.akamaized.net/images/flagge/medium/24.png?lm=1520611569,/wettbewerbe/national/wettbewerbe/24
155,Eslovenia,Europa,https://tmssl.akamaized.net/images/flagge/medium/155.png?lm=1520611569,/wettbewerbe/national/wettbewerbe/155
99,Luxemburgo,Europa,https://tmssl.akamaized.net/images/flagge/medium/99.png?lm=1520611569,/wettbewerbe/national/wettbewerbe/99
122,Holanda,Europa,https://tmssl.akamaized.net/images/flagge/medium/122.png?lm=1520611569,/wettbewerbe/national/wettbewerbe/122
140,Rumanía,Europa,https://tmssl.akamaized.net/images/flagge/medium/140.png?lm=1520611569,/wettbewerbe/national/wettbewerbe/140
40,Alemania,Europa,https://tmssl.akamaized.net/images/flagge/medium/40.png?lm=1520611569,/wettbewerbe/national/wettbewerbe/40
136,Portugal,Europa,https://tmssl.akamaized.net/images/flagge/medium/136.png?lm=1520611569,/wettbewerbe/national/wettbewerbe/136
75,Italia,Europa,https://tmssl.akamaized.net/images/flagge/medium/75.png?lm=1520611569,/wettbewerbe/national/wettbewerbe/75
56,Grecia,Europa,https://tmssl.akamaized.net/images/flagge/medium/56.png?lm=1520611569,/wettbewerbe/national/wettbewerbe/56
28,Bulgaria,Europa,https://tmssl.akamaized.net/images/flagge/medium/28.png?lm=1520611569,/wettbewerbe/national/wettbewerbe/28
39,Dinamarca,Europa,https://tmssl.akamaized.net/images/flagge/medium/39.png?lm=1520611569,/wettbewerbe/national/wettbewerbe/39
147,Suecia,Europa,https://tmssl.akamaized.net/images/flagge/medium/147.png?lm=1520611569,/wettbewerbe/national/wettbewerbe/147
192,Irlanda del Norte,Europa,https://tmssl.akamaized.net/images/flagge/medium/192.png?lm=1520611569,/wettbewerbe/national/wettbewerbe/192
190,Escocia,Europa,https://tmssl.akamaized.net/images/flagge/medium/190.png?lm=1520611569,/wettbewerbe/national/wettbewerbe/190
125,Noruega,Europa,https://tmssl.akamaized.net/images/flagge/medium/125.png?lm=1520611569,/wettbewerbe/national/wettbewerbe/125
92,Letonia,Europa,https://tmssl.akamaized.net/images/flagge/medium/92.png?lm=1520611569,/wettbewerbe/national/wettbewerbe/92
53,Georgia,Europa,https://tmssl.akamaized.net/images/flagge/medium/53.png?lm=1520611569,/wettbewerbe/national/wettbewerbe/53
208,Islas feroe,Europa,https://tmssl.akamaized.net/images/flagge/medium/208.png?lm=1520611569,/wettbewerbe/national/wettbewerbe/208
10,Armenia,Europa,https://tmssl.akamaized.net/images/flagge/medium/10.png?lm=1520611569,/wettbewerbe/national/wettbewerbe/10
